address,expected
"4013 Market St, Fairview, TN 37062",Commercial
"1425 Retail Row, Hillcrest, CA 92103",Commercial
"3812 Maple Ln, Riverton, UT 84065",Residential
"6874 Oak Dr, Hillcrest, CA 92103",Residential
"6925 Market St, Riverton, UT 84065",Commercial
"1675 Aspen Dr, Fairview, TN 37062",Residential
"9892 Aspen Dr, Fairview, TN 37062",Residential
"2046 Birch Pl, Hillcrest, CA 92103",Residential
"5926 Cedar Ter, Fairview, TN 37062",Residential
"4742 Market St, Riverton, UT 84065",Commercial
"4555 Industrial Pkwy, Bayside, CA 94110",Industrial
"5821 Factory Rd, Fairview, TN 37062",Industrial
"9981 Elm Cir, Springfield, IL 62701",Residential
"7574 Oak Dr, Riverton, UT 84065",Residential
"917 Downtown Ave, Fairview, TN 37062",MixedUse
"4387 Willow Ct, Bayside, CA 94110",Residential
"3484 Depot St, Fairview, TN 37062",Industrial
"2341 Elm Cir, Bayside, CA 94110",Residential
"4305 Cedar Ter, Hillcrest, CA 92103",Residential
"5931 Cedar Ter, Bayside, CA 94110",Residential
"772 Station Blvd, Springfield, IL 62701",MixedUse
"9772 Oak Dr, Bayside, CA 94110",Residential
"4120 Birch Pl, Hillcrest, CA 92103",Residential
"8798 Industrial Pkwy, Springfield, IL 62701",Industrial
"4809 Main St, Springfield, IL 62701",Commercial
"8202 Elm Cir, Fairview, TN 37062",Residential
"8318 Maple Ln, Fairview, TN 37062",Residential
"8838 Aspen Dr, Riverton, UT 84065",Residential
"5311 Union Sq, Hillcrest, CA 92103",MixedUse
"3924 Willow Ct, Fairview, TN 37062",Residential
"7963 Industrial Pkwy, Springfield, IL 62701",Industrial
"7788 Downtown Ave, Riverton, UT 84065",MixedUse
"6933 Cedar Ter, Hillcrest, CA 92103",Residential
"6538 Downtown Ave, Fairview, TN 37062",MixedUse
"7398 Broadway, Hillcrest, CA 92103",Commercial
"9639 Willow Ct, Springfield, IL 62701",Residential
"965 Market St, Springfield, IL 62701",Commercial
"8424 Freight Way, Springfield, IL 62701",Industrial
"2168 Commerce Blvd, Hillcrest, CA 92103",Commercial
"3982 Depot St, Bayside, CA 94110",Industrial
"1589 Factory Rd, Springfield, IL 62701",Industrial
"888 Birch Pl, Bayside, CA 94110",Residential
"6597 Union Sq, Springfield, IL 62701",MixedUse
"3140 Industrial Pkwy, Riverton, UT 84065",Industrial
"4564 Birch Pl, Riverton, UT 84065",Residential
"9017 Industrial Pkwy, Bayside, CA 94110",Industrial
"1529 Plaza Way, Springfield, IL 62701",Commercial
"7957 Factory Rd, Bayside, CA 94110",Industrial
"Apt 4B",Industrial
"4674 Aspen Dr, Bayside, CA 94110",Residential
"3112 Station Blvd, Riverton, UT 84065",MixedUse
"937 Union Sq, Fairview, TN 37062",MixedUse
"2580 Aspen Dr, Hillcrest, CA 92103",Residential
"1123 Aspen Dr, Riverton, UT 84065",Residential
"1965 Commerce Blvd, Bayside, CA 94110",Commercial
"652 Plaza Way, Hillcrest, CA 92103",Commercial
"8566 Cedar Ter, Hillcrest, CA 92103",Residential
"3911 Elm Cir, Fairview, TN 37062",Residential
"7492 Elm Cir, Fairview, TN 37062",Residential
"7509 Market St, Springfield, IL 62701",Commercial
"8809 Market St, Springfield, IL 62701",Commercial
"4003 Willow Ct, Springfield, IL 62701",Residential
"4957 Aspen Dr, Hillcrest, CA 92103",Residential
"4906 Union Sq, Hillcrest, CA 92103",MixedUse
"1892 Oak Dr, Fairview, TN 37062",Residential
"4617 Commerce Blvd, Fairview, TN 37062",Commercial
"8281 Commerce Blvd, Fairview, TN 37062",Commercial
"6940 Industrial Pkwy, Springfield, IL 62701",Industrial
"4292 Willow Ct, Riverton, UT 84065",Residential
"PO Box 9190",Residential
"591 Downtown Ave, Hillcrest, CA 92103",MixedUse
"2089 Commerce Blvd, Bayside, CA 94110",Commercial
"5863 Aspen Dr, Springfield, IL 62701",Residential
"9174 Maple Ln, Fairview, TN 37062",Residential
"3879 Cedar Ter, Riverton, UT 84065",Residential
"407 Downtown Ave, Bayside, CA 94110",MixedUse
"4372 Station Blvd, Riverton, UT 84065",MixedUse
"7712 Broadway, Springfield, IL 62701",Commercial
"5001 Foundry Ave, Fairview, TN 37062",Industrial
"3165 Factory Rd, Springfield, IL 62701",Industrial
"5754 Maple Ln, Fairview, TN 37062",Residential
"5426 Aspen Dr, Hillcrest, CA 92103",Residential
"9513 Willow Ct, Riverton, UT 84065",Residential
"7120 Maple Ln, Hillcrest, CA 92103",Residential
"8380 Broadway, Hillcrest, CA 92103",Commercial
"728 Factory Rd, Fairview, TN 37062",Industrial
"3229 Aspen Dr, Hillcrest, CA 92103",Residential
"5144 Elm Cir, Fairview, TN 37062",Residential
"5068 Willow Ct, Hillcrest, CA 92103",Residential
"9084 Elm Cir, Fairview, TN 37062",Residential
"9325 Birch Pl, Riverton, UT 84065",Residential
"4701 Maple Ln, Fairview, TN 37062",Residential
"7619 Plaza Way, Fairview, TN 37062",Commercial
"2781 Plaza Way, Bayside, CA 94110",Commercial
"5492 Elm Cir, Hillcrest, CA 92103",Residential
"3681 Downtown Ave, Fairview, TN 37062",MixedUse
"7785 Maple Ln, Riverton, UT 84065",Residential
"9432 Broadway, Bayside, CA 94110",Commercial
"3998 Broadway, Bayside, CA 94110",Commercial
"3586 Market St, Bayside, CA 94110",Commercial
"9133 Station Blvd, Springfield, IL 62701",MixedUse
"7613 Foundry Ave, Riverton, UT 84065",Industrial
"8271 Midtown St, Bayside, CA 94110",MixedUse
"7778 Foundry Ave, Riverton, UT 84065",Industrial
"8541 Retail Row, Fairview, TN 37062",Commercial
"4682 Birch Pl, Springfield, IL 62701",Residential
"2268 Cedar Ter, Springfield, IL 62701",Residential
"1053 Oak Dr, Riverton, UT 84065",Residential
"1021 Birch Pl, Bayside, CA 94110",Residential
"321 Aspen Dr, Hillcrest, CA 92103",Residential
"97 Broadway, Bayside, CA 94110",Commercial
"8819 Birch Pl, Bayside, CA 94110",Residential
"8000 Cedar Ter, Riverton, UT 84065",Residential
"5508 Maple Ln, Bayside, CA 94110",Residential
"7658 Retail Row, Riverton, UT 84065",Commercial
"9698 Union Sq, Bayside, CA 94110",MixedUse
"2224 Elm Cir, Bayside, CA 94110",Residential
"5364 Willow Ct, Bayside, CA 94110",Residential
"4559 Aspen Dr, Bayside, CA 94110",Residential
"N/A",Industrial
"1125 Willow Ct, Riverton, UT 84065",Residential
"3267 Market St, Riverton, UT 84065",Commercial
"7759 Commerce Blvd, Riverton, UT 84065",Commercial
"4199 Commerce Blvd, Bayside, CA 94110",Commercial
"2684 Cedar Ter, Springfield, IL 62701",Residential
"9434 Maple Ln, Fairview, TN 37062",Residential
"1246 Station Blvd, Riverton, UT 84065",MixedUse
"4942 Factory Rd, Springfield, IL 62701",Industrial
"673 Market St, Hillcrest, CA 92103",Commercial
"8290 Willow Ct, Springfield, IL 62701",Residential
"1730 Birch Pl, Bayside, CA 94110",Residential
"2507 Aspen Dr, Bayside, CA 94110",Residential
"8818 Retail Row, Fairview, TN 37062",Commercial
"4398 Aspen Dr, Hillcrest, CA 92103",Residential
"7386 Maple Ln, Fairview, TN 37062",Residential
"5512 Cedar Ter",Residential
"4233 Oak Dr, Fairview, TN 37062",Residential
"Mill Rd",Industrial
"8005 Elm Cir, Bayside, CA 94110",Residential
"7343 Birch Pl, Bayside, CA 94110",Residential
"3987 Oak Dr, Bayside, CA 94110",Residential
